name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
WWE 2K24,07-03-2024,165301,100.39.00,8055097.0,42.36514031444467,71,AAA,2K,Visual Concepts,2315690
EARTH DEFENSE FORCE 6,25-07-2024,159806,60.39.00,7882151.0,29.65106126155342,57,Indie,D3PUBLISHER,SANDLOT,2291060
Sins of a Solar Empire II,15-08-2024,214192,50.39.00,7815247.0,12.45259326556514,88,Indie,Stardock Entertainment,"Ironclad Games Corporation,Stardock Entertainment",1575940
Legend of Mortal,14-06-2024,440998,20.39,7756399.0,24.79781729089117,76,Indie,"Paras Games,Obb Studio Inc.",Obb Studio Inc.,1859910
Shin Megami Tensei V: Vengeance,13-06-2024,141306,60.39.00,7629252.0,34.25849627863547,96,AA,SEGA,ATLUS,1875830
Soulmask,30-05-2024,304685,30.39.00,7540563.0,95.69781345051696,79,Indie,Qooland Games,CampFire Studio,2646460
The Universim,22-01-2024,328945,30.39.00,7534369.0,16.86853054897363,81,Indie,Crytivo,Crytivo,352720
Bellwright,23-04-2024,280955,30.39.00,7481940.0,41.418884797624166,78,Indie,"Donkey Crew,Snail Games USA",Donkey Crew,1812450
Night of the Dead,31-05-2024,394364,30.39.00,7091792.0,27.59707192847936,79,Indie,Jackto Studios,Jackto Studios,1377380
Empires of the Undergrowth,07-06-2024,408292,30.39.00,6950952.0,38.60212424802546,95,AA,"Hooded Horse,Slug Disco",Slug Disco,463530
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,13-06-2024,212325,50.39.00,6828446.0,30.27494811660254,0,AA,Square Enix,Square Enix,2552430
ANIMAL WELL,09-05-2024,305891,25.39.00,6420393.0,8.485381327666017,96,Indie,Bigmode,Billy Basso,813230
Age of Mythology: Retold,04-09-2024,236419,30.39.00,6381185.0,9.389112456991116,91,AAA,Xbox Game Studios,"World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games",1934680
STAR WARS™: Battlefront Classic Collection,13-03-2024,185054,35.01.00,6048340.0,4.360934964168404,0,Indie,Aspyr,Aspyr,2446550
Another Crab's Treasure,25-04-2024,264723,30.39.00,5719324.0,10.434608015373133,95,Indie,Aggro Crab,Aggro Crab,1887840
Homeworld 3,13-05-2024,102487,60.39.00,5516030.0,8.497439609058835,42,AA,Gearbox Publishing,Blackbird Interactive,1840080
Winter Memories,05-01-2024,424281,20.39,5478333.0,8.98400541606548,0,Indie,Kagura Games,Dojin Otome,2495450
Nine Sols,28-05-2024,214407,30.39.00,5475592.0,17.894843749042394,96,Indie,RedCandleGames,RedCandleGames,1809540
Outpost: Infinity Siege,26-03-2024,278031,25.39.00,5312327.0,35.08670209892025,68,AA,Lightning Games,Team Ranger,1566690
Sker Ritual,18-04-2024,267953,25.39.00,5058868.0,6.477539083793293,82,Indie,Wales Interactive,Wales Interactive,1492070
shapez 2,15-08-2024,261028,25.39.00,4810868.0,16.307715687349233,99,Indie,"tobspr Games,Gamera Games",tobspr Games,2162800
Senua’s Saga: Hellblade II,21-05-2024,107010,50.39.00,4747832.0,5.160077378916766,88,AAA,Xbox Game Studios,Ninja Theory,2461850
Pixel Gun 3D: PC Edition,02-04-2024,1626877,0.0,4707782.0,11.89782337701754,62,Indie,Cubic Games Studio,Cubic Games Studio,2524890
Backpack Battles,08-03-2024,499559,13.39,4663468.0,42.85143977627138,90,Indie,"PlayWithFurcifer,IndieArk",PlayWithFurcifer,2427700
Crime Scene Cleaner,14-08-2024,285596,20.39,4644684.0,8.5955248244436,98,Indie,"President Studio,PlayWay S.A.",President Studio,1040200
Kebab Chefs! - Restaurant Simulator,19-01-2024,312189,18.39,4552032.0,9.479225359641724,89,Indie,Biotech Gameworks,Biotech Gameworks,1001270
Predecessor,20-08-2024,433605,0.0,20262481.43.00,109.91382768034087,79,Indie,Omeda Studios,Omeda Studios,961200
Palia,25-03-2024,881082,0.0,4263470.0,47.02791482592875,78,Indie,Singularity 6 Corporation,Singularity 6 Corporation,2707930
"Little Kitty, Big City",09-05-2024,206880,25.39.00,4238137.0,4.143531272874482,95,Indie,Double Dagger Studio,Double Dagger Studio,1177980
Secrets of Grindea,29-02-2024,314988,15.39,4161183.0,21.69826525906877,90,Indie,Pixel Ferrets,Pixel Ferrets,269770
Chrono Ark,02-05-2024,301197,25.39.00,4113334.0,37.2041660638596,91,Indie,Al Fine,Al Fine,1188930
Nova Drift,12-08-2024,445361,18.39,4047331.0,24.72868457429413,96,Indie,Pixeljam,Chimeric,858210
Kingdom Rush 5: Alliance TD,25-07-2024,245264,20.39,4042356.0,9.09008744972337,86,Indie,Ironhide Game Studio,Ironhide Game Studio,2849080
Norland,18-07-2024,170621,30.39.00,3991591.0,18.46350698089453,79,AA,Hooded Horse,Long Jaunt,1857090
Eiyuden Chronicle: Hundred Heroes,23-04-2024,91925,50.39.00,3953243.0,26.18784418359856,0,AA,505 Games,Rabbit & Bear Studios,1658280
Le Mans Ultimate,20-02-2024,120703,33.39.00,3740762.0,24.51989839725174,78,Indie,Studio 397,Studio 397,2399420
The Hungry Lamb: Traveling in the Late Ming Dynasty,22-04-2024,588305,10.39,3689551.0,5.515544910785541,97,Indie,"零创游戏(ZerocreationGame),2P Games",零创游戏(ZerocreationGame),2593370
Fabledom,13-05-2024,274354,21.39,3559827.0,9.741550826316857,90,Indie,"Dear Villagers,Doyoyo Games",Grenaa Games,1651560
Apollo Justice: Ace Attorney Trilogy,24-01-2024,89327,50.39.00,3465018.0,40.0243065252875,93,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2187220
F1® Manager 2024,23-07-2024,111464,35.39.00,3428483.0,22.803547133217016,66,AA,Frontier Developments,Frontier Developments,2591280
Men of War II,15-05-2024,84565,45.39.00,3406127.0,21.05376649227358,0,Indie,Fulqrum Publishing,Best Way,1128860
Banishers: Ghosts of New Eden,12-02-2024,78137,50.39.00,3387809.0,22.31599204035413,87,AA,Focus Entertainment,DON'T NOD,1493640
Buckshot Roulette,04-04-2024,1486957,03.39,3369649.0,2.995872787721658,95,Indie,CRITICAL REFLEX,Mike Klubnika,2835570
Fields of Mistria,05-08-2024,265456,14.39,3342356.0,15.649349536238686,98,Indie,NPC Studio,NPC Studio,2142790
FOREWARNED,25-04-2024,366053,13.39,3322822.0,8.447204850866648,91,Indie,Dreambyte Games,Dreambyte Games,1562420
Midnight Ghost Hunt,21-03-2024,371470,20.39,3272209.0,11.916997192362892,78,AA,Coffee Stain Publishing,Vaulted Sky Games,915810
Tomb Raider I-III Remastered Starring Lara Croft,13-02-2024,125073,30.39.00,3262820.0,25.629116385966054,87,Indie,Aspyr,"Aspyr,Crystal Dynamics",2478970
Five Nights at Freddy's: Into the Pit,07-08-2024,181334,20.39,3262379.0,5.095655826350983,96,Indie,Mega Cat Studios,Mega Cat Studios,2638370
EA SPORTS™ Madden NFL 25,15-08-2024,50521,70.39.00,3182368.0,16.10649107133234,50,AAA,Electronic Arts,Tiburon,2582560
Rotwood,24-04-2024,412521,11.39,3180800.0,8.798469833185573,73,AA,Klei Entertainment,Klei Entertainment,2015270
Hookah Haze,10-07-2024,17717,18.39,263733.0,4.766068924187017,92,Indie,Aniplex Inc.,ACQUIRE Corp.,2470300
Future Fragments,22-02-2024,14679,20.39,263197.0,6.791463008808835,80,Indie,"Taboo Toad,Shady Corner Games",The Future Fragments Team,1238920
Botany Manor,09-04-2024,12312,25.39.00,263004.0,3.329619728276769,96,Indie,Whitethorn Games,Balloon Studios,1425350
Scarlet Tower,25-03-2024,66201,05.39,262728.0,10.807864513617217,86,Indie,Pyxeralia LLC,Pyxeralia LLC,2181720
Vellum,28-03-2024,15742,20.39,260940.0,7.258494933109757,90,Indie,"Alvios, Inc.",Alvios Games,917950
Supernatural,15-07-2024,34355,09.39,260449.0,1.582619871033138,63,Indie,Hitori De Productions,Hitori De Productions,2093010
